iter	Passed	Remaining
431	1333	1752
432	1335	1749
433	1337	1744
434	1339	1739
435	1340	1734
436	1342	1729
437	1344	1724
438	1345	1719
439	1347	1715
440	1349	1710
441	1351	1705
442	1352	1700
443	1354	1696
444	1356	1691
445	1357	1686
446	1359	1681
447	1361	1677
448	1362	1672
449	1364	1667
450	1365	1662
451	1367	1657
452	1369	1653
453	1370	1648
454	1372	1644
455	1374	1639
456	1376	1635
457	1377	1630
458	1380	1626
459	1381	1621
460	1383	1617
461	1386	1614
462	1387	1609
463	1389	1605
464	1390	1600
465	1392	1596
466	1394	1591
467	1396	1586
468	1398	1582
469	1399	1578
470	1401	1573
471	1402	1568
472	1404	1564
473	1406	1560
474	1407	1555
475	1409	1551
476	1411	1547
477	1412	1542
478	1413	1537
479	1415	1533
480	1416	1528
481	1418	1524
482	1419	1519
483	1421	1515
484	1423	1511
485	1424	1506
486	1426	1502
487	1427	1497
488	1429	1493
489	1430	1488
490	1431	1484
491	1433	1480
492	1435	1476
493	1437	1472
494	1438	1467
495	1439	1463
496	1441	1459
497	1443	1454
498	1444	1450
499	1446	1446
500	1447	1442
501	1449	1437
502	1450	1433
503	1452	1429
504	1454	1425
505	1478	1443
506	1479	1439
507	1484	1437
508	1486	1433
509	1487	1429
510	1489	1425
511	1491	1421
512	1493	1418
513	1497	1415
514	1499	1411
515	1501	1408
516	1504	1405
517	1528	1422
518	1541	1428
519	1543	1424
520	1545	1420
521	1547	1416
522	1549	1412
523	1552	1410
524	1588	1437
525	1590	1433
526	1601	1437
527	1603	1433
528	1607	1431
529	1610	1428
530	1612	1424
531	1617	1422
532	1619	1419
533	1623	1416
534	1626	1413
535	1630	1411
536	1634	1409
537	1638	1407
538	1642	1404
539	1645	1401
540	1648	1398
541	1651	1395
542	1653	1391
543	1657	1389
544	1662	1388
545	1666	1385
546	1674	1386
547	1676	1382
548	1685	1384
549	1689	1382
550	1693	1380
551	1696	1377
552	1700	1374
553	1702	1370
554	1703	1366
555	1706	1362
556	1709	1359
557	1712	1356
558	1714	1352
559	1716	1348
560	1719	1345
561	1723	1343
562	1726	1339
